term,level,parent,term_family,full_path
Wafer scale integration,3,Integrated circuits,Circuits and systems,Circuits and systems > Circuits > Integrated circuits > Wafer scale integration
Isolators,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Isolators
Large scale integration,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Large scale integration
Ultra large scale integration,3,Large scale integration,Circuits and systems,Circuits and systems > Circuits > Large scale integration > Ultra large scale integration
Very large scale integration,3,Large scale integration,Circuits and systems,Circuits and systems > Circuits > Large scale integration > Very large scale integration
Wafer scale integration,3,Large scale integration,Circuits and systems,Circuits and systems > Circuits > Large scale integration > Wafer scale integration
Linear circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Linear circuits
Logic arrays,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Logic arrays
Programmable logic arrays,3,Logic arrays,Circuits and systems,Circuits and systems > Circuits > Logic arrays > Programmable logic arrays
Logic circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Logic circuits
Combinational circuits,3,Logic circuits,Circuits and systems,Circuits and systems > Circuits > Logic circuits > Combinational circuits
Logic arrays,3,Logic circuits,Circuits and systems,Circuits and systems > Circuits > Logic circuits > Logic arrays
Programmable logic arrays,3,Logic circuits,Circuits and systems,Circuits and systems > Circuits > Logic circuits > Programmable logic arrays
Superconducting logic circuits,3,Logic circuits,Circuits and systems,Circuits and systems > Circuits > Logic circuits > Superconducting logic circuits
Magnetic circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Magnetic circuits
Microprocessors,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Microprocessors
Automatic logic units,3,Microprocessors,Circuits and systems,Circuits and systems > Circuits > Microprocessors > Automatic logic units
Biomimetics,3,Microprocessors,Circuits and systems,Circuits and systems > Circuits > Microprocessors > Biomimetics
Coprocessors,3,Microprocessors,Circuits and systems,Circuits and systems > Circuits > Microprocessors > Coprocessors
Microcontrollers,3,Microprocessors,Circuits and systems,Circuits and systems > Circuits > Microprocessors > Microcontrollers
Microprocessor chips,3,Microprocessors,Circuits and systems,Circuits and systems > Circuits > Microprocessors > Microprocessor chips
Vector processors,3,Microprocessors,Circuits and systems,Circuits and systems > Circuits > Microprocessors > Vector processors
Microwave circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Microwave circuits
Millimeter wave circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Millimeter wave circuits
Millimeter wave integrated circuits,3,Millimeter wave circuits,Circuits and systems,Circuits and systems > Circuits > Millimeter wave circuits > Millimeter wave integrated circuits
Millimeter wave integrated circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Millimeter wave integrated circuits
MIMICs,3,Millimeter wave integrated circuits,Circuits and systems,Circuits and systems > Circuits > Millimeter wave integrated circuits > MIMICs
Monolithic integrated circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Monolithic integrated circuits
MIMICs,3,Monolithic integrated circuits,Circuits and systems,Circuits and systems > Circuits > Monolithic integrated circuits > MIMICs
MMICs,3,Monolithic integrated circuits,Circuits and systems,Circuits and systems > Circuits > Monolithic integrated circuits > MMICs
MOSFET circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > MOSFET circuits
CMOSFET circuits,3,MOSFET circuits,Circuits and systems,Circuits and systems > Circuits > MOSFET circuits > CMOSFET circuits
MOS integrated circuits,3,MOSFET circuits,Circuits and systems,Circuits and systems > Circuits > MOSFET circuits > MOS integrated circuits
Power MOSFET,3,MOSFET circuits,Circuits and systems,Circuits and systems > Circuits > MOSFET circuits > Power MOSFET
Multiplying circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Multiplying circuits
Neural circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Neural circuits
Nonlinear circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Nonlinear circuits
Nonlinear network analysis,3,Nonlinear circuits,Circuits and systems,Circuits and systems > Circuits > Nonlinear circuits > Nonlinear network analysis
Passive circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Passive circuits
Phase shifters,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Phase shifters
Phase transformers,3,Phase shifters,Circuits and systems,Circuits and systems > Circuits > Phase shifters > Phase transformers
Power dissipation,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Power dissipation
Power integrated circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Power integrated circuits
Printed circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Printed circuits
Flexible printed circuits,3,Printed circuits,Circuits and systems,Circuits and systems > Circuits > Printed circuits > Flexible printed circuits
Memory modules,3,Printed circuits,Circuits and systems,Circuits and systems > Circuits > Printed circuits > Memory modules
Surface mount technology,3,Printed circuits,Circuits and systems,Circuits and systems > Circuits > Printed circuits > Surface mount technology
Programmable circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Programmable circuits
Field programmable analog arrays,3,Programmable circuits,Circuits and systems,Circuits and systems > Circuits > Programmable circuits > Field programmable analog arrays
Programmable logic arrays,3,Programmable circuits,Circuits and systems,Circuits and systems > Circuits > Programmable circuits > Programmable logic arrays
Programmable logic devices,3,Programmable circuits,Circuits and systems,Circuits and systems > Circuits > Programmable circuits > Programmable logic devices
Programmable logic arrays,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Programmable logic arrays
Programmable logic devices,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Programmable logic devices
Pulse circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Pulse circuits
Flip-flops,3,Pulse circuits,Circuits and systems,Circuits and systems > Circuits > Pulse circuits > Flip-flops
Quantum circuit,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Quantum circuit
Radiation detector circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Radiation detector circuits
Rail to rail operation,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Rail to rail operation
Rail to rail amplifiers,3,Rail to rail operation,Circuits and systems,Circuits and systems > Circuits > Rail to rail operation > Rail to rail amplifiers
Rail to rail inputs,3,Rail to rail operation,Circuits and systems,Circuits and systems > Circuits > Rail to rail operation > Rail to rail inputs
Rail to rail outputs,3,Rail to rail operation,Circuits and systems,Circuits and systems > Circuits > Rail to rail operation > Rail to rail outputs
Rectifiers,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Rectifiers
RLC circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > RLC circuits
Sampled data circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Sampled data circuits
Sequential circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Sequential circuits
Silicon-on-insulator,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Silicon-on-insulator
Silicon on sapphire,3,Silicon-on-insulator,Circuits and systems,Circuits and systems > Circuits > Silicon-on-insulator > Silicon on sapphire
Submillimeter wave circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Submillimeter wave circuits
Submillimeter wave integrated circuits,3,Submillimeter wave circuits,Circuits and systems,Circuits and systems > Circuits > Submillimeter wave circuits > Submillimeter wave integrated circuits
Summing circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Summing circuits
Switched circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Switched circuits
Switched capacitor circuits,3,Switched circuits,Circuits and systems,Circuits and systems > Circuits > Switched circuits > Switched capacitor circuits
Switching circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Switching circuits
Choppers (circuits),3,Switching circuits,Circuits and systems,Circuits and systems > Circuits > Switching circuits > Choppers (circuits)
Logic circuits,3,Switching circuits,Circuits and systems,Circuits and systems > Circuits > Switching circuits > Logic circuits
Switching converters,3,Switching circuits,Circuits and systems,Circuits and systems > Circuits > Switching circuits > Switching converters
Zero current switching,3,Switching circuits,Circuits and systems,Circuits and systems > Circuits > Switching circuits > Zero current switching
Zero voltage switching,3,Switching circuits,Circuits and systems,Circuits and systems > Circuits > Switching circuits > Zero voltage switching
Thick film circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Thick film circuits
Thin film circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Thin film circuits
Thyristor circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Thyristor circuits
Time varying circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Time varying circuits
Trigger circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Trigger circuits
